subject,implementation,ll_final,fit_time_s,n_iter,s_per_iter
sub-01,amica_python_jax,-1.1645165280844847,218.67108280281536,100,2.1867108280281538
sub-02,amica_python_jax,-1.1202492910636876,232.95778419800263,60,3.882629736633377
sub-03,amica_python_jax,-1.222364373089511,212.28777010600243,60,3.538129501766707
sub-04,amica_python_jax,-1.2190310177750034,202.65196263199687,60,3.377532710533281
sub-05,amica_python_jax,-0.9964539709365197,166.12664582399884,60,2.7687774303999806
sub-06,amica_python_jax,-1.234056940045728,157.0727149480008,60,2.61787858246668
sub-01,amica_python_jax_chunked,-1.1645445048712426,223.55688747600652,100,2.235568874760065
sub-02,amica_python_jax_chunked,-1.120257917995393,259.620031688999,60,4.327000528149983
sub-03,amica_python_jax_chunked,-1.2223926151518139,209.77932508400045,60,3.496322084733341
sub-04,amica_python_jax_chunked,-1.2190197573091328,202.13212875000318,60,3.368868812500053
sub-05,amica_python_jax_chunked,-0.9964367690990796,197.05083133199878,60,3.28418052219998
sub-06,amica_python_jax_chunked,-1.2340593994372113,159.3794381259977,60,2.6563239687666282
sub-01,scott_huberty_torch,-1.1635883556024822,196.27535809599794,100,1.9627535809599794
sub-02,scott_huberty_torch,-1.1399743335502157,285.9391890529987,60,4.7656531508833115
sub-03,scott_huberty_torch,-1.2135875588162575,202.4635863020012,60,3.3743931050333535
sub-04,scott_huberty_torch,-1.2330160260881178,189.62247840099735,60,3.1603746400166224
sub-05,scott_huberty_torch,-1.001920876629985,253.0884396170004,60,4.21814066028334
sub-06,scott_huberty_torch,-1.2310872170305103,124.48443925199899,60,2.0747406541999833
sub-01,pyamica_torch,-1.163748150057121,771.8509084980469,100,7.718509084980469
sub-02,pyamica_torch,-1.1550238705618028,633.286442179,60,10.554774036316667
sub-03,pyamica_torch,-1.2128865970635032,636.9392664879997,60,10.615654441466662
sub-04,pyamica_torch,-1.2466213146605591,518.283274854999,60,8.63805458091665
sub-05,pyamica_torch,-1.00324774002548,469.89778147299876,60,7.831629691216646
sub-06,pyamica_torch,-1.2311162400490452,583.1988938920003,60,9.719981564866673
sub-01,fortran_amica17,-1.1644305146343168,670.1828239699826,100,6.701828239699825
